#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84585at50557_520822_0:000271|STRG.23177.1:0-1769|+  -            590 84585at50557         -            445  1.6e-184  612.7  16.1   1   1  2.3e-184  2.6e-181  602.1  16.1     2   445     7   522     6   522 0.89 -
27943at50557_103372_0:001861|STRG.5735.2:461-2708|+ -            694 84585at50557         -            445   2.3e-09   35.4  11.4   1   2   2.2e-12   2.6e-09   35.3   8.8    16   169    21   186    13   190 0.69 -
27943at50557_103372_0:001861|STRG.5735.2:461-2708|+ -            694 84585at50557         -            445   2.3e-09   35.4  11.4   2   2      0.29   3.4e+02   -1.4   0.0   390   419   475   504   473   510 0.89 -
27943at50557_34720_0:000d3a|STRG.5735.1:504-2705|+  -            734 84585at50557         -            445   2.7e-09   35.2  11.4   1   2   2.4e-12   2.8e-09   35.1   8.8    16   169    21   186    13   190 0.69 -
27943at50557_34720_0:000d3a|STRG.5735.1:504-2705|+  -            734 84585at50557         -            445   2.7e-09   35.2  11.4   2   2      0.31   3.6e+02   -1.5   0.0   390   419   475   504   473   510 0.89 -
27943at50557_34720_0:000d3a|STRG.5735.3:150-2351|+  -            734 84585at50557         -            445   2.7e-09   35.2  11.4   1   2   2.4e-12   2.8e-09   35.1   8.8    16   169    21   186    13   190 0.69 -
27943at50557_34720_0:000d3a|STRG.5735.3:150-2351|+  -            734 84585at50557         -            445   2.7e-09   35.2  11.4   2   2      0.31   3.6e+02   -1.5   0.0   390   419   475   504   473   510 0.89 -
27943at50557_34720_0:000d3a|STRG.5735.4:0-2201|+    -            734 84585at50557         -            445   2.7e-09   35.2  11.4   1   2   2.4e-12   2.8e-09   35.1   8.8    16   169    21   186    13   190 0.69 -
27943at50557_34720_0:000d3a|STRG.5735.4:0-2201|+    -            734 84585at50557         -            445   2.7e-09   35.2  11.4   2   2      0.31   3.6e+02   -1.5   0.0   390   419   475   504   473   510 0.89 -
29608at50557_34720_0:0015a1|STRG.3768.1:214-2250|+  -            679 84585at50557         -            445    0.0078   13.9  11.6   1   2   0.00098       1.1    6.8   2.7    20    67    29    79    14   135 0.67 -
29608at50557_34720_0:0015a1|STRG.3768.1:214-2250|+  -            679 84585at50557         -            445    0.0078   13.9  11.6   2   2   4.2e-05     0.049   11.3   1.6   110   179   307   378   305   581 0.74 -
29608at50557_34720_0:0015a1|STRG.3768.2:81-2150|+   -            690 84585at50557         -            445     0.013   13.2  11.7   1   2    0.0014       1.7    6.2   2.7    20    67     9    59     6   115 0.66 -
29608at50557_34720_0:0015a1|STRG.3768.2:81-2150|+   -            690 84585at50557         -            445     0.013   13.2  11.7   2   2   4.6e-05     0.054   11.1   1.7   110   179   287   358   285   561 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/84585at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/84585at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/84585at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:20 2024
# [ok]
