#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+     -            444 56099at50557         -            397  3.7e-204  676.8   2.3   1   1  1.2e-205  4.5e-204  676.6   2.3     1   397     1   440     1   440 0.95 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 56099at50557         -            397   5.9e-28   96.7   0.2   1   4   2.4e-09   8.9e-08   30.2   0.0   240   320   116   199   101   208 0.83 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 56099at50557         -            397   5.9e-28   96.7   0.2   2   4     0.002     0.073   10.7   0.1   217   312   223   280   217   292 0.54 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 56099at50557         -            397   5.9e-28   96.7   0.2   3   4   1.3e-12   4.8e-11   41.0   0.0   234   314   358   441   339   448 0.86 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+     -            481 56099at50557         -            397   5.9e-28   96.7   0.2   4   4      0.02      0.75    7.4   0.0   242   270   450   478   441   481 0.89 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 56099at50557         -            397   8.1e-28   96.2   0.6   1   4    0.0011     0.042   11.5   0.0    63    97     4    37     1    43 0.71 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 56099at50557         -            397   8.1e-28   96.2   0.6   2   4   1.1e-05   0.00039   18.2   0.0   238   270    43    75    38    86 0.87 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 56099at50557         -            397   8.1e-28   96.2   0.6   3   4   1.1e-10     4e-09   34.6   0.0   241   320    88   170    79   183 0.83 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+      -            286 56099at50557         -            397   8.1e-28   96.2   0.6   4   4   1.1e-08   4.1e-07   28.0   0.0   216   310   187   286   175   286 0.86 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   1   4    0.0044      0.16    9.6   0.0    63    97     2    36     1    43 0.90 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   2   4      0.12       4.6    4.8   0.0   245   272    51    77    38    85 0.79 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   3   4   3.4e-11   1.3e-09   36.3   0.1   219   316    65   165    56   177 0.76 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   4   4   1.6e-12   5.9e-11   40.7   0.0   216   312   186   287   173   288 0.85 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   1   4    0.0044      0.16    9.6   0.0    63    97     2    36     1    43 0.90 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   2   4      0.12       4.6    4.8   0.0   245   272    51    77    38    85 0.79 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   3   4   3.4e-11   1.3e-09   36.3   0.1   219   316    65   165    56   177 0.76 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+   -            288 56099at50557         -            397   9.7e-27   92.6   1.5   4   4   1.6e-12   5.9e-11   40.7   0.0   216   312   186   287   173   288 0.85 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 56099at50557         -            397   1.4e-25   88.8   0.8   1   3   6.8e-05    0.0025   15.5   0.1   208   271     7    71     3    80 0.76 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 56099at50557         -            397   1.4e-25   88.8   0.8   2   3   2.8e-11   1.1e-09   36.5   0.0   239   316    81   161    71   171 0.86 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+       -            281 56099at50557         -            397   1.4e-25   88.8   0.8   3   3     4e-10   1.5e-08   32.7   0.1   208   310   175   281   165   281 0.82 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 56099at50557         -            397   2.6e-24   84.6   0.8   1   5   1.4e-10   5.3e-09   34.2   0.0   241   322     3    87     1    87 0.85 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 56099at50557         -            397   2.6e-24   84.6   0.8   2   5   3.7e-05    0.0014   16.4   0.0    60    98    84   121    82   125 0.88 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 56099at50557         -            397   2.6e-24   84.6   0.8   3   5     0.004      0.15    9.7   0.0    61    98   127   163   122   171 0.83 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 56099at50557         -            397   2.6e-24   84.6   0.8   4   5   0.00074     0.028   12.1   0.0   245   313   176   250   166   254 0.74 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+        -            291 56099at50557         -            397   2.6e-24   84.6   0.8   5   5    0.0071      0.26    8.9   0.0    56    94   252   291   249   291 0.83 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 56099at50557         -            397   2.7e-22   78.0   0.3   1   4   9.5e-11   3.6e-09   34.8   0.0   241   322     3    87     1    88 0.86 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 56099at50557         -            397   2.7e-22   78.0   0.3   2   4   3.2e-05    0.0012   16.6   0.0    60    97    84   120    81   124 0.87 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 56099at50557         -            397   2.7e-22   78.0   0.3   3   4    0.0036      0.13    9.9   0.0    61    98   127   163   123   171 0.83 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+        -            265 56099at50557         -            397   2.7e-22   78.0   0.3   4   4   0.00016    0.0059   14.3   0.0   245   321   176   258   165   263 0.75 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   1   7     0.047       1.7    6.2   0.0    70   100     6    35     1    56 0.79 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   2   7       8.7   3.2e+02   -1.3   0.0    59    98    78   116    75   123 0.74 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   3   7      0.72        27    2.3   0.0    62   100   174   211   172   213 0.85 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   4   7   1.2e-07   4.7e-06   24.5   0.0   226   316   202   294   198   300 0.86 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   5   7   7.1e-05    0.0026   15.5   0.0   260   312   316   371   307   380 0.78 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   6   7    0.0013     0.047   11.4   0.1    62    98   380   416   376   422 0.92 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+   -            457 56099at50557         -            397   8.2e-20   69.8   1.6   7   7      0.15       5.7    4.5   0.0   238   268   421   451   415   457 0.79 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   1   6    0.0069      0.26    8.9   0.0    62    98     1    36     1    40 0.92 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   2   6    0.0061      0.23    9.1   0.1    61   104    42    84    38    87 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   3   6   0.00091     0.034   11.8   0.1   236   271    82   117    77   122 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   4   6    0.0014     0.053   11.2   0.0   237   295   125   186   119   195 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   5   6     0.039       1.5    6.4   0.0    78   120   204   240   198   243 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   6   6   7.4e-07   2.8e-05   22.0   0.1   242   310   233   304   227   305 0.83 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   1   6    0.0069      0.26    8.9   0.0    62    98     1    36     1    40 0.92 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   2   6    0.0061      0.23    9.1   0.1    61   104    42    84    38    87 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   3   6   0.00091     0.034   11.8   0.1   236   271    82   117    77   122 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   4   6    0.0014     0.053   11.2   0.0   237   295   125   186   119   195 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   5   6     0.039       1.5    6.4   0.0    78   120   204   240   198   243 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+     -            305 56099at50557         -            397   7.7e-19   66.6   7.1   6   6   7.4e-07   2.8e-05   22.0   0.1   242   310   233   304   227   305 0.83 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   1   4   0.00014    0.0053   14.5   0.2   258   323     2    68     1    76 0.69 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   2   4   0.00018    0.0067   14.1   0.7   237   314    63   142    62   144 0.72 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   3   4   1.9e-05   0.00073   17.3   0.0    58    98   145   182   143   187 0.89 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   4   4   2.5e-06   9.5e-05   20.2   0.0    61    98   188   222   184   238 0.89 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   1   4   0.00014    0.0053   14.5   0.2   258   323     2    68     1    76 0.69 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   2   4   0.00018    0.0067   14.1   0.7   237   314    63   142    62   144 0.72 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   3   4   1.9e-05   0.00073   17.3   0.0    58    98   145   182   143   187 0.89 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+  -            268 56099at50557         -            397   1.9e-18   65.4   7.1   4   4   2.5e-06   9.5e-05   20.2   0.0    61    98   188   222   184   238 0.89 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 56099at50557         -            397     3e-18   64.7   0.2   1   3     0.074       2.8    5.5   0.0    61    97     7    42     5    57 0.84 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 56099at50557         -            397     3e-18   64.7   0.2   2   3   0.00021    0.0077   13.9   0.0   246   316    69   141    61   154 0.88 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+     -            346 56099at50557         -            397     3e-18   64.7   0.2   3   3   4.4e-12   1.6e-10   39.2   0.1   136   277   162   318   157   346 0.67 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+      -            287 56099at50557         -            397     9e-18   63.1   0.1   1   4     0.013       0.5    8.0   0.0   283   321    15    53     3    60 0.68 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+      -            287 56099at50557         -            397     9e-18   63.1   0.1   2   4   0.00091     0.034   11.8   0.0   246   320    59   141    42   145 0.72 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+      -            287 56099at50557         -            397     9e-18   63.1   0.1   3   4    0.0036      0.13    9.9   0.1   242   270   144   172   140   178 0.89 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+      -            287 56099at50557         -            397     9e-18   63.1   0.1   4   4   3.7e-09   1.4e-07   29.6   0.0   235   326   179   275   171   280 0.79 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+     -            206 56099at50557         -            397   1.4e-17   62.5   0.2   1   3    0.0059      0.22    9.1   0.0    61    98    14    50    11    54 0.89 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+     -            206 56099at50557         -            397   1.4e-17   62.5   0.2   2   3   3.8e-05    0.0014   16.3   0.0   233   279    50    96    47   102 0.84 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+     -            206 56099at50557         -            397   1.4e-17   62.5   0.2   3   3   9.8e-11   3.6e-09   34.8   0.0   240   324    99   186    91   194 0.81 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 56099at50557         -            397     2e-17   62.0   0.1   1   5    0.0057      0.21    9.2   0.0    59    97    50    87    47    97 0.91 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 56099at50557         -            397     2e-17   62.0   0.1   2   5     0.014      0.53    7.9   0.0   236   268    92   124    86   128 0.89 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 56099at50557         -            397     2e-17   62.0   0.1   3   5   1.3e-06   4.8e-05   21.2   0.0   216   318   112   219   106   223 0.81 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 56099at50557         -            397     2e-17   62.0   0.1   4   5    0.0002    0.0073   14.0   0.0    60   108   220   267   215   275 0.87 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+      -            349 56099at50557         -            397     2e-17   62.0   0.1   5   5     0.005      0.19    9.4   0.0   210   269   283   343   273   348 0.84 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+      -            602 56099at50557         -            397     6e-16   57.1   0.1   1   3      0.15       5.6    4.5   0.0   237   321    51   142    30   153 0.64 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+      -            602 56099at50557         -            397     6e-16   57.1   0.1   2   3   2.8e-05    0.0011   16.8   0.0   211   313   154   263   145   276 0.76 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+      -            602 56099at50557         -            397     6e-16   57.1   0.1   3   3   3.9e-09   1.5e-07   29.5   0.9    59   312   312   599   309   601 0.72 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+   -            509 56099at50557         -            397   2.2e-15   55.2   0.4   1   3     0.019      0.72    7.5   0.1   239   311   260   335   249   339 0.76 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+   -            509 56099at50557         -            397   2.2e-15   55.2   0.4   2   3   3.2e-09   1.2e-07   29.8   0.0   227   319   332   427   325   435 0.84 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+   -            509 56099at50557         -            397   2.2e-15   55.2   0.4   3   3     4e-05    0.0015   16.3   0.1   284   314   434   464   428   477 0.89 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+   -            515 56099at50557         -            397   2.4e-15   55.2   0.4   1   3      0.02      0.73    7.4   0.1   239   311   266   341   255   345 0.76 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+   -            515 56099at50557         -            397   2.4e-15   55.2   0.4   2   3   3.2e-09   1.2e-07   29.8   0.0   227   319   338   433   331   441 0.84 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+   -            515 56099at50557         -            397   2.4e-15   55.2   0.4   3   3     4e-05    0.0015   16.3   0.1   284   314   440   470   434   483 0.89 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+    -            515 56099at50557         -            397   2.4e-15   55.2   0.4   1   3      0.02      0.73    7.4   0.1   239   311   266   341   255   345 0.76 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+    -            515 56099at50557         -            397   2.4e-15   55.2   0.4   2   3   3.2e-09   1.2e-07   29.8   0.0   227   319   338   433   331   441 0.84 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+    -            515 56099at50557         -            397   2.4e-15   55.2   0.4   3   3     4e-05    0.0015   16.3   0.1   284   314   440   470   434   483 0.89 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+      -            293 56099at50557         -            397     3e-15   54.8   0.0   1   3      0.14       5.2    4.6   0.0    58    96    52    89    50    97 0.89 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+      -            293 56099at50557         -            397     3e-15   54.8   0.0   2   3   4.3e-06   0.00016   19.5   0.0   211   321    68   182    62   186 0.80 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+      -            293 56099at50557         -            397     3e-15   54.8   0.0   3   3   1.7e-11   6.2e-10   37.3   0.0   136   270   157   293   145   293 0.81 -
