#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13158at50557_34720_0:00221b|STRG.16382.1:0-2582|+      -            861 13158at50557         -            643         0 1100.1   6.1   1   1         0         0 1098.8   6.1     8   617    86   752    79   787 0.92 -
33009at50557_178035_0:000e4f|STRG.10342.1:302-1960|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.2:501-2159|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.3:396-2054|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.4:269-1927|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.5:497-2155|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.6:290-1948|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.7:294-1952|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
33009at50557_178035_0:000e4f|STRG.10342.8:530-2188|+   -            553 13158at50557         -            643   1.2e-58  197.6   0.0   1   1   8.2e-61   1.6e-58  197.2   0.0    67   559    24   537    16   548 0.84 -
52925at50557_568069_0:003a4f|STRG.6847.2:278-1915|+    -            546 13158at50557         -            643   4.2e-56  189.2   3.5   1   1   4.1e-57   7.8e-55  185.0   3.5    68   519    13   510     5   545 0.74 -
52925at50557_568069_0:003a4f|STRG.6847.3:216-1853|+    -            546 13158at50557         -            643   4.2e-56  189.2   3.5   1   1   4.1e-57   7.8e-55  185.0   3.5    68   519    13   510     5   545 0.74 -
52925at50557_568069_0:003a4f|STRG.6847.4:87-1724|+     -            546 13158at50557         -            643   4.2e-56  189.2   3.5   1   1   4.1e-57   7.8e-55  185.0   3.5    68   519    13   510     5   545 0.74 -
13158at50557_286706_0:0029f3|STRG.727.1:719-2329|+     -            537 13158at50557         -            643   1.1e-52  178.0   0.0   1   1   5.3e-54     1e-51  174.7   0.0    69   510     1   476     1   537 0.75 -
