#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_326594_0:000491|STRG.20875.1:136-1966|+   -            608 35385at50557         -            530  7.8e-292  967.9   0.7   1   1    1e-293  1.2e-291  967.3   0.7     5   530    26   608    24   608 0.94 -
35385at50557_35570_0:00290c|STRG.8983.1:1004-2248|+    -            415 35385at50557         -            530   1.9e-91  306.6   0.0   1   1   2.1e-93   2.4e-91  306.3   0.0   126   495     6   414     3   415 0.87 -
35385at50557_37001_0:001231|STRG.9131.1:397-1731|+     -            445 35385at50557         -            530   6.6e-83  278.4   0.0   1   1   7.7e-85   8.5e-83  278.1   0.0   116   489    32   432    19   442 0.86 -
29312at50557_34720_0:0009c1|STRG.1112.1:103-2403|+     -            767 35385at50557         -            530   1.3e-82  277.5   0.0   1   1   1.6e-84   1.8e-82  277.0   0.0   115   490   236   637   222   650 0.89 -
35385at50557_37001_0:001231|STRG.9131.2:334-2491|+     -            445 35385at50557         -            530   3.8e-82  275.9   0.0   1   1   4.4e-84   4.9e-82  275.6   0.0   116   489    32   432    19   442 0.86 -
35385at50557_7375_0:0001af|STRG.3240.1:299-1633|+      -            445 35385at50557         -            530   1.3e-81  274.1   0.0   1   1   1.5e-83   1.7e-81  273.8   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3240.4:299-1633|+      -            445 35385at50557         -            530   1.3e-81  274.1   0.0   1   1   1.5e-83   1.7e-81  273.8   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3240.2:299-2127|+      -            445 35385at50557         -            530   7.7e-81  271.6   0.0   1   1   8.8e-83   9.8e-81  271.3   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7370_0:001aad|STRG.4583.1:15-2105|+       -            697 35385at50557         -            530   1.4e-79  267.4   0.0   1   1   1.7e-81   1.9e-79  267.0   0.0   125   497    96   491    73   508 0.86 -
35385at50557_37001_0:001231|STRG.9129.1:538-1866|+     -            443 35385at50557         -            530   2.4e-79  266.7   0.0   1   1   2.7e-81     3e-79  266.4   0.0   112   488    30   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   1   2   1.3e-40   1.5e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   2   2   6.9e-39   7.7e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   1   2   1.3e-40   1.5e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   2   2   6.9e-39   7.7e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   1   2   1.3e-40   1.5e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 35385at50557         -            530   2.2e-77  260.2   0.1   2   2   6.9e-39   7.7e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.5735.1:1182-2489|+    -            436 35385at50557         -            530     5e-76  255.7   0.1   1   1   5.3e-78   5.9e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
