#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87181at50557_456900_0:001ac2|STRG.11534.1:139-1992|+ -            618 87181at50557         -            228  2.7e-129  428.2   3.6   1   1  5.7e-130    6e-127  420.5   3.6     1   228   147   411   147   411 0.93 -
87181at50557_103372_0:000c65|STRG.11534.2:139-1916|+ -            570 87181at50557         -            228  6.6e-129  426.9   3.8   1   1  1.5e-129  1.6e-126  419.1   3.8     2   228   100   363    99   363 0.93 -
76908at50557_144034_0:001185|STRG.8727.1:1196-2203|+ -            336 87181at50557         -            228   3.6e-23   81.0   0.2   1   1   5.1e-26   5.4e-23   80.4   0.2    48   181    70   211    45   221 0.83 -
76908at50557_103372_0:001521|STRG.8727.2:1196-2140|+ -            315 87181at50557         -            228     4e-23   80.8   0.3   1   1   5.1e-26   5.4e-23   80.4   0.3    48   181    70   212    44   222 0.83 -
76908at50557_7176_0:001c06|STRG.3203.1:531-1040|+    -            170 87181at50557         -            228   1.7e-13   49.3   0.1   1   1   2.8e-16     3e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
76908at50557_7176_0:001c06|STRG.3203.2:531-1040|+    -            170 87181at50557         -            228   1.7e-13   49.3   0.1   1   1   2.8e-16     3e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
76908at50557_7176_0:001c06|STRG.3203.3:117-626|+     -            170 87181at50557         -            228   1.7e-13   49.3   0.1   1   1   2.8e-16     3e-13   48.6   0.1    40   101    43   104    24   111 0.91 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 87181at50557         -            228   6.6e-05   21.3   8.7   1   4      0.98     1e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 87181at50557         -            228   6.6e-05   21.3   8.7   2   4   2.8e-05      0.03   12.5   0.3    69   101    91   123    83   140 0.80 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 87181at50557         -            228   6.6e-05   21.3   8.7   3   4     0.003       3.1    5.9   0.1    67    92   193   218   187   231 0.88 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 87181at50557         -            228   6.6e-05   21.3   8.7   4   4    0.0022       2.4    6.3   0.0    68    90   311   333   300   354 0.90 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/87181at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:07 2024
# [ok]
