#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75818at50557_103372_0:001ce5|STRG.14884.1:216-1217|+ -            334 75818at50557         -            242  4.6e-116  385.4   0.9   1   1  4.3e-117  5.3e-114  378.6   0.9     1   242    35   333    35   333 0.88 -
90744at50557_104421_0:000efb|STRG.4049.1:80-1042|+   -            321 75818at50557         -            242     2e-12   46.1   0.1   1   1   3.5e-15   4.4e-12   44.9   0.0     7   201     6   231     2   265 0.75 -
105894at50557_103372_0:000196|STRG.11703.1:95-949|+  -            285 75818at50557         -            242   6.2e-06   24.8   0.3   1   2   9.4e-09   1.2e-05   23.9   0.0    11   100     5   101     1   131 0.75 -
105894at50557_103372_0:000196|STRG.11703.1:95-949|+  -            285 75818at50557         -            242   6.2e-06   24.8   0.3   2   2       2.1   2.7e+03   -3.5   0.0   197   216   251   270   233   281 0.56 -
105894at50557_74869_0:00075c|STRG.15642.1:174-818|+  -            215 75818at50557         -            242   0.00075   18.0   0.0   1   1   1.1e-06    0.0013   17.1   0.0    20    93     2    79     1    92 0.77 -
78394at50557_103372_0:00085a|STRG.4763.1:176-1213|+  -            346 75818at50557         -            242     0.037   12.4   0.0   1   1   4.5e-05     0.056   11.8   0.0    28    89    73   142    57   176 0.77 -
78394at50557_103372_0:00085a|STRG.4763.4:121-1158|+  -            346 75818at50557         -            242     0.037   12.4   0.0   1   1   4.5e-05     0.056   11.8   0.0    28    89    73   142    57   176 0.77 -
78394at50557_103372_0:00085a|STRG.4763.2:10-1053|+   -            348 75818at50557         -            242     0.037   12.4   0.0   1   1   4.6e-05     0.057   11.8   0.0    28    89    75   144    59   178 0.77 -
78394at50557_103372_0:00085a|STRG.4763.3:56-1214|+   -            368 75818at50557         -            242     0.041   12.3   0.0   1   1   5.1e-05     0.063   11.7   0.0    28    89    95   164    79   198 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75818at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75818at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75818at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:18 2024
# [ok]
