#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.3605.1:11-1126|+     -            372 74932at50557         -            280  1.4e-153  509.0   1.1   1   1  8.8e-156  1.7e-153  508.7   1.1     1   280    36   342    36   342 0.94 -
74932at50557_286706_0:00199c|STRG.6574.1:219-1232|+    -            338 74932at50557         -            280   1.9e-50  170.6   2.5   1   1   9.3e-51   1.7e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_286706_0:00199c|STRG.6574.2:216-1229|+    -            338 74932at50557         -            280   1.9e-50  170.6   2.5   1   1   9.3e-51   1.7e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_286706_0:00199c|STRG.6574.3:447-1460|+    -            338 74932at50557         -            280   1.9e-50  170.6   2.5   1   1   9.3e-51   1.7e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_222816_0:000a9b|STRG.18149.1:198-1241|+   -            348 74932at50557         -            280   8.1e-34  116.0   0.0   1   3   1.1e-20     2e-18   65.5   0.0     3    67     2    73     1    92 0.89 -
74932at50557_222816_0:000a9b|STRG.18149.1:198-1241|+   -            348 74932at50557         -            280   8.1e-34  116.0   0.0   2   3      0.23        44    2.1   0.0    86   123   163   200   145   206 0.70 -
74932at50557_222816_0:000a9b|STRG.18149.1:198-1241|+   -            348 74932at50557         -            280   8.1e-34  116.0   0.0   3   3   1.4e-14   2.7e-12   45.4   0.0   160   280   203   332   192   332 0.87 -
73951at50557_34720_0:00262d|STRG.8218.3:32-1578|+      -            481 74932at50557         -            280   6.2e-22   77.0   3.4   1   2   1.6e-20   3.1e-18   64.9   0.7     2    63    84   153    83   171 0.90 -
73951at50557_34720_0:00262d|STRG.8218.3:32-1578|+      -            481 74932at50557         -            280   6.2e-22   77.0   3.4   2   2   0.00019     0.035   12.2   0.1   153   280   297   422   283   422 0.80 -
73951at50557_34720_0:00262d|STRG.8218.2:31-1605|+      -            525 74932at50557         -            280   7.7e-22   76.7   3.3   1   2   1.9e-20   3.5e-18   64.7   0.7     2    63    79   148    78   166 0.90 -
73951at50557_34720_0:00262d|STRG.8218.2:31-1605|+      -            525 74932at50557         -            280   7.7e-22   76.7   3.3   2   2   0.00022     0.042   12.0   0.1   153   280   292   417   279   417 0.80 -
