#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
7307at50557_34720_0:000f2b|STRG.10205.1:244-3540|+ -           1099 7307at50557          -            785         0 1290.2  24.7   1   1         0         0 1275.2  24.7     1   785    16   975    16   975 0.89 -
69855at50557_6973_0:004c2c|STRG.6385.1:908-2233|+  -            442 7307at50557          -            785   9.1e-07   26.1   2.1   1   3   2.2e-09   2.5e-06   24.7   0.1   510   554   191   235   161   254 0.78 -
69855at50557_6973_0:004c2c|STRG.6385.1:908-2233|+  -            442 7307at50557          -            785   9.1e-07   26.1   2.1   2   3     0.088        96   -0.5   0.0    88   123   269   303   241   317 0.73 -
69855at50557_6973_0:004c2c|STRG.6385.1:908-2233|+  -            442 7307at50557          -            785   9.1e-07   26.1   2.1   3   3      0.15   1.6e+02   -1.2   0.0   686   753   349   414   314   438 0.61 -
69855at50557_6973_0:004c2c|STRG.6385.2:314-2050|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   1   3   3.3e-09   3.6e-06   24.1   0.1   510   554   328   372   298   391 0.78 -
69855at50557_6973_0:004c2c|STRG.6385.2:314-2050|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   2   3      0.12   1.3e+02   -0.8   0.1    86   123   404   440   374   454 0.73 -
69855at50557_6973_0:004c2c|STRG.6385.2:314-2050|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   3   3      0.18   1.9e+02   -1.5   0.1   666   753   464   551   425   574 0.65 -
69855at50557_6973_0:004c2c|STRG.6385.3:332-2068|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   1   3   3.3e-09   3.6e-06   24.1   0.1   510   554   328   372   298   391 0.78 -
69855at50557_6973_0:004c2c|STRG.6385.3:332-2068|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   2   3      0.12   1.3e+02   -0.8   0.1    86   123   404   440   374   454 0.73 -
69855at50557_6973_0:004c2c|STRG.6385.3:332-2068|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   3   3      0.18   1.9e+02   -1.5   0.1   666   753   464   551   425   574 0.65 -
69855at50557_6973_0:004c2c|STRG.6385.4:147-1883|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   1   3   3.3e-09   3.6e-06   24.1   0.1   510   554   328   372   298   391 0.78 -
69855at50557_6973_0:004c2c|STRG.6385.4:147-1883|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   2   3      0.12   1.3e+02   -0.8   0.1    86   123   404   440   374   454 0.73 -
69855at50557_6973_0:004c2c|STRG.6385.4:147-1883|+  -            579 7307at50557          -            785   1.4e-06   25.5   2.1   3   3      0.18   1.9e+02   -1.5   0.1   666   753   464   551   425   574 0.65 -
69855at50557_6973_0:004c2c|STRG.2107.4:207-1205|+  -            333 7307at50557          -            785   4.8e-06   23.7   0.2   1   1   5.9e-09   6.4e-06   23.3   0.2   510   599   216   307   182   322 0.80 -
69855at50557_6973_0:004c2c|STRG.2107.3:207-1562|+  -            452 7307at50557          -            785   7.8e-06   23.0   0.2   1   1     1e-08   1.1e-05   22.5   0.2   510   599   216   307   182   324 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/7307at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/7307at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/7307at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:21 2024
# [ok]
