#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.6591.1:0-1172|+     -            391 75144at50557         -            307  7.1e-148  490.5   1.4   1   1  1.5e-148  4.9e-146  484.5   1.4     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.899.1:175-1302|+    -            376 75144at50557         -            307   7.9e-61  204.6   0.0   1   1   2.3e-61   7.7e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.899.2:0-1127|+      -            376 75144at50557         -            307   7.9e-61  204.6   0.0   1   1   2.3e-61   7.7e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.522.1:219-1346|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   1   2     7e-56   2.4e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.522.1:219-1346|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   2   2   1.1e-07   3.7e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.522.2:223-1350|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   1   2     7e-56   2.4e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.522.2:223-1350|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   2   2   1.1e-07   3.7e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.522.3:0-1127|+      -            376 75144at50557         -            307   1.2e-60  204.1   0.0   1   2     7e-56   2.4e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.522.3:0-1127|+      -            376 75144at50557         -            307   1.2e-60  204.1   0.0   2   2   1.1e-07   3.7e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.894.1:0-1127|+      -            376 75144at50557         -            307   5.1e-60  202.0   0.0   1   1   1.1e-60   3.7e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.896.1:52-1179|+     -            376 75144at50557         -            307   5.1e-60  202.0   0.0   1   1   1.1e-60   3.7e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.896.2:0-1127|+      -            376 75144at50557         -            307   5.1e-60  202.0   0.0   1   1   1.1e-60   3.7e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.2266.1:388-1506|+   -            373 75144at50557         -            307   2.5e-57  193.1   0.0   1   1   6.7e-58   2.3e-55  186.7   0.0     1   307    10   364    10   364 0.81 -
75144at50557_28612_0:003734|STRG.13355.1:0-1079|+    -            360 75144at50557         -            307   1.3e-41  141.5   0.0   1   1   4.1e-43   1.4e-40  138.2   0.0    32   297    40   332     1   351 0.82 -
75144at50557_28612_0:003734|STRG.13355.2:21-986|+    -            322 75144at50557         -            307   1.5e-41  141.3   0.0   1   1   4.9e-43   1.7e-40  137.9   0.0    32   297     2   294     1   313 0.82 -
57613at50557_610380_0:00141b|STRG.19692.2:0-1181|+   -            394 75144at50557         -            307   9.2e-41  138.7   0.1   1   2     2e-41   6.6e-39  132.6   0.0    26   279    49   325    10   339 0.78 -
57613at50557_610380_0:00141b|STRG.19692.2:0-1181|+   -            394 75144at50557         -            307   9.2e-41  138.7   0.1   2   2      0.52   1.8e+02   -0.2   0.0   293   307   368   382   327   382 0.84 -
57613at50557_610380_0:00141b|STRG.19692.3:350-1555|+ -            402 75144at50557         -            307   1.8e-40  137.7   0.1   1   2   4.4e-41   1.5e-38  131.5   0.0    27   279    58   333    12   345 0.83 -
57613at50557_610380_0:00141b|STRG.19692.3:350-1555|+ -            402 75144at50557         -            307   1.8e-40  137.7   0.1   2   2       0.6     2e+02   -0.3   0.0   294   307   377   390   342   390 0.87 -
57613at50557_610380_0:00141b|STRG.19692.1:350-1555|+ -            402 75144at50557         -            307   6.1e-40  136.0   0.1   1   2   1.5e-40     5e-38  129.7   0.0    32   279    63   333    12   346 0.84 -
57613at50557_610380_0:00141b|STRG.19692.1:350-1555|+ -            402 75144at50557         -            307   6.1e-40  136.0   0.1   2   2      0.73   2.5e+02   -0.6   0.0   294   307   377   390   367   390 0.87 -
52703at50557_103372_0:001b91|STRG.12090.1:495-1789|+ -            402 75144at50557         -            307   2.2e-26   91.5   0.0   1   1     3e-27     1e-24   86.0   0.0    33   280    46   328    25   337 0.75 -
52703at50557_103372_0:001b91|STRG.12090.2:109-1359|+ -            417 75144at50557         -            307   8.2e-26   89.6   0.0   1   1   1.1e-26   3.9e-24   84.1   0.0    33   280    61   343    38   353 0.74 -
75144at50557_28612_0:003734|STRG.3814.1:172-753|+    -            194 75144at50557         -            307   2.1e-19   68.6   0.0   1   1   7.4e-22   2.5e-19   68.3   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.13494.1:210-1499|+   -            430 75144at50557         -            307   4.3e-19   67.5   0.1   1   3   3.8e-15   1.3e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.13494.1:210-1499|+   -            430 75144at50557         -            307   4.3e-19   67.5   0.1   2   3    0.0061       2.1    6.2   0.0   225   244   297   316   256   327 0.86 -
75144at50557_7539_0:003503|STRG.13494.1:210-1499|+   -            430 75144at50557         -            307   4.3e-19   67.5   0.1   3   3   0.00019     0.065   11.1   0.0   240   283   334   378   329   422 0.80 -
75144at50557_7539_0:003503|STRG.14845.1:145-1377|+   -            411 75144at50557         -            307   4.7e-18   64.2   0.1   1   2   4.2e-14   1.4e-11   42.9   0.0    53   161    75   196    60   213 0.82 -
75144at50557_7539_0:003503|STRG.14845.1:145-1377|+   -            411 75144at50557         -            307   4.7e-18   64.2   0.1   2   2   5.6e-06    0.0019   16.2   0.0   239   307   316   405   283   405 0.66 -
75144at50557_7539_0:003503|STRG.14845.2:24-1256|+    -            411 75144at50557         -            307   4.7e-18   64.2   0.1   1   2   4.2e-14   1.4e-11   42.9   0.0    53   161    75   196    60   213 0.82 -
75144at50557_7539_0:003503|STRG.14845.2:24-1256|+    -            411 75144at50557         -            307   4.7e-18   64.2   0.1   2   2   5.6e-06    0.0019   16.2   0.0   239   307   316   405   283   405 0.66 -
57613at50557_7536_0:002bce|STRG.3814.1:1636-1992|+   -            119 75144at50557         -            307   4.4e-13   47.8   0.0   1   1   1.9e-13   6.5e-11   40.7   0.0   223   294     2    97     1   119 0.64 -
52703at50557_116153_0:001375|STRG.13760.1:51-1052|+  -            334 75144at50557         -            307   7.9e-12   43.7   0.0   1   1     1e-12   3.5e-10   38.3   0.0     2   284     2   290     1   321 0.65 -
75144at50557_132113_0:003254|STRG.19315.1:792-1577|+ -            262 75144at50557         -            307   1.4e-09   36.4   0.0   1   1   4.8e-12   1.6e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
45419at50557_51655_0:002e4f|STRG.3187.3:2146-2400|+  -             85 75144at50557         -            307     0.025   12.5   0.0   1   1   7.4e-05     0.025   12.5   0.0    85   132     2    49     1    81 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:34 2024
# [ok]
