#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+     -            310 35385at50557         -            530  1.1e-182  605.3   0.6   1   1  6.3e-184  1.4e-182  604.9   0.6   245   530     1   310     1   310 0.95 -
35385at50557_7222_0:000f17|STRG.10294.1:974-4239|+   -            431 35385at50557         -            530   3.6e-92  306.6   0.0   1   1     2e-93   4.5e-92  306.3   0.0   126   496    14   428     7   431 0.86 -
35385at50557_37001_0:001231|STRG.10460.1:335-1669|+  -            445 35385at50557         -            530   1.2e-83  278.4   0.0   1   1   7.1e-85   1.6e-83  278.1   0.0   116   489    32   432    19   442 0.86 -
35385at50557_7375_0:0001af|STRG.1227.1:594-1901|+    -            436 35385at50557         -            530   1.8e-83  277.9   0.0   1   1   9.7e-85   2.1e-83  277.6   0.0   115   486    38   435    24   436 0.89 -
35385at50557_37001_0:001231|STRG.10460.2:335-2492|+  -            445 35385at50557         -            530   7.1e-83  275.9   0.0   1   1   4.1e-84   9.1e-83  275.6   0.0   116   489    32   432    19   442 0.86 -
35385at50557_37001_0:001231|STRG.10460.3:335-2492|+  -            445 35385at50557         -            530   7.1e-83  275.9   0.0   1   1   4.1e-84   9.1e-83  275.6   0.0   116   489    32   432    19   442 0.86 -
35385at50557_37001_0:001231|STRG.3703.2:296-1630|+   -            445 35385at50557         -            530   2.4e-82  274.2   0.0   1   1   1.4e-83     3e-82  273.8   0.0   106   497    30   438    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3703.1:296-1630|+    -            445 35385at50557         -            530   2.5e-82  274.1   0.0   1   1   1.4e-83   3.2e-82  273.8   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3703.3:296-2124|+    -            445 35385at50557         -            530   1.4e-81  271.6   0.0   1   1   8.2e-83   1.8e-81  271.3   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7370_0:001aad|STRG.5259.1:36-2126|+     -            697 35385at50557         -            530   2.6e-80  267.4   0.0   1   1   1.6e-81   3.6e-80  267.0   0.0   125   497    96   491    73   508 0.86 -
35385at50557_37001_0:001231|STRG.10459.1:188-1516|+  -            443 35385at50557         -            530   4.4e-80  266.7   0.0   1   1   2.5e-81   5.5e-80  266.4   0.0   112   488    30   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   1   2   1.2e-40   2.7e-39  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   2   2   6.4e-39   1.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   1   2   1.2e-40   2.7e-39  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   2   2   6.4e-39   1.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   1   2   1.2e-40   2.7e-39  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   2   2   6.4e-39   1.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   1   2   1.2e-40   2.7e-39  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+ -            410 35385at50557         -            530   4.1e-78  260.2   0.1   2   2   6.4e-39   1.4e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.6592.1:1280-2587|+  -            436 35385at50557         -            530   9.3e-77  255.7   0.1   1   1   4.9e-78   1.1e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
