#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.9016.1:151-1075|+   -            297 107413at50557        -             88   2.4e-35  119.6   2.4   1   1   2.4e-36   1.5e-34  117.1   2.4     1    88   179   285   179   285 0.85 -
98621at50557_286706_0:000660|STRG.3103.1:95-814|+      -            240 107413at50557        -             88   7.1e-19   66.8   0.6   1   1   1.2e-19   7.3e-18   63.6   0.6    23    88   169   237   131   237 0.73 -
45935at50557_6973_0:001b70|STRG.19072.1:1745-2518|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   1   2     0.033         2    7.7   0.0     1    36   139   176   139   184 0.76 -
45935at50557_6973_0:001b70|STRG.19072.1:1745-2518|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   2   2   3.3e-18   2.1e-16   58.9   3.4    28    88   189   250   174   250 0.89 -
45935at50557_6973_0:001b70|STRG.19072.2:1640-2413|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   1   2     0.033         2    7.7   0.0     1    36   139   176   139   184 0.76 -
45935at50557_6973_0:001b70|STRG.19072.2:1640-2413|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   2   2   3.3e-18   2.1e-16   58.9   3.4    28    88   189   250   174   250 0.89 -
45935at50557_6973_0:001b70|STRG.19072.4:2768-3541|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   1   2     0.033         2    7.7   0.0     1    36   139   176   139   184 0.76 -
45935at50557_6973_0:001b70|STRG.19072.4:2768-3541|+    -            258 107413at50557        -             88   7.9e-19   66.7   6.1   2   2   3.3e-18   2.1e-16   58.9   3.4    28    88   189   250   174   250 0.89 -
98621at50557_286706_0:000660|STRG.3103.2:95-826|+      -            244 107413at50557        -             88   8.5e-19   66.6   0.6   1   1   1.2e-19   7.6e-18   63.5   0.6    23    88   173   241   135   241 0.73 -
45935at50557_67767_0:003589|STRG.19072.3:2399-3304|+   -            302 107413at50557        -             88   1.6e-18   65.7   6.4   1   2     0.042       2.6    7.3   0.0     1    36   183   220   183   228 0.76 -
45935at50557_67767_0:003589|STRG.19072.3:2399-3304|+   -            302 107413at50557        -             88   1.6e-18   65.7   6.4   2   2   4.4e-18   2.7e-16   58.5   3.4    28    88   233   294   218   294 0.89 -
107413at50557_211228_0:00176b|STRG.12207.1:414-1151|+  -            246 107413at50557        -             88     4e-18   64.4   1.3   1   1   7.4e-18   4.6e-16   57.8   1.3     4    88   138   241   135   241 0.72 -
107413at50557_211228_0:00176b|STRG.12207.3:588-1325|+  -            246 107413at50557        -             88     4e-18   64.4   1.3   1   1   7.4e-18   4.6e-16   57.8   1.3     4    88   138   241   135   241 0.72 -
