#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96662at50557_103372_0:0000f8|STRG.17400.1:0-767|+       -            256 96662at50557         -            445  5.3e-125  416.6   0.2   1   1  1.2e-126    6e-125  416.5   0.2     1   232    21   255    21   256 0.96 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   1  10   1.1e-12   5.6e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   2  10   3.2e-08   1.6e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   3  10     1e-06     5e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   4  10     1e-06   4.9e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   5  10   6.6e-09   3.2e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   6  10   1.6e-05   0.00079   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   7  10   6.2e-08     3e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   8  10   4.8e-09   2.4e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1   9  10   2.5e-06   0.00012   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 96662at50557         -            445   1.7e-66  223.8  17.1  10  10   8.7e-11   4.2e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   1   9   4.8e-10   2.3e-08   32.2   0.0   342   441     7   107     2   107 0.88 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   2   9   2.8e-09   1.4e-07   29.7   0.0   367   444    65   143    63   147 0.97 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   3   9   1.9e-11   9.5e-10   36.8   0.0   339   441   157   260   144   264 0.91 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   4   9     0.035       1.7    6.3   0.0   390   431   241   282   240   297 0.88 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   5   9   5.2e-10   2.5e-08   32.1   0.2   352   428   359   435   351   453 0.91 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   6   9   5.6e-12   2.7e-10   38.6   0.0   335   431   467   565   447   570 0.89 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   7   9    0.0001    0.0051   14.6   0.0   392   443   559   611   559   613 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   8   9     8e-12   3.9e-10   38.1   0.0   335   428   622   715   615   718 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 96662at50557         -            445   1.1e-65  221.2   2.1   9   9   1.3e-05   0.00066   17.5   0.0   392   444   712   765   711   766 0.92 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   1   8   1.5e-10   7.1e-09   33.9   0.0   342   443     7   109     3   112 0.88 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   2   8   8.7e-12   4.2e-10   37.9   0.0   336   441   143   249   113   253 0.84 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   3   8      0.02      0.96    7.1   0.0   389   431   229   271   227   286 0.87 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   4   8   4.8e-08   2.4e-06   25.6   0.2   352   424   348   417   341   439 0.86 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   5   8   4.2e-12   2.1e-10   39.0   0.0   334   431   452   551   415   555 0.86 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   6   8   0.00021      0.01   13.6   0.0   394   443   547   597   546   599 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   7   8   7.8e-12   3.8e-10   38.1   0.0   335   428   608   701   601   704 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 96662at50557         -            445   2.7e-62  210.0   0.5   8   8   1.3e-05   0.00064   17.6   0.0   392   444   698   751   697   752 0.92 -
96662at50557_104452_0:001c4a|STRG.17398.1:6-722|+       -            239 96662at50557         -            445   4.6e-62  209.2   0.1   1   1   1.1e-63   5.6e-62  208.9   0.1   230   444    13   231     3   232 0.95 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 96662at50557         -            445   6.5e-51  172.5  13.3   1  10   5.4e-08   2.7e-06   25.4   0.0   319   441    41   164    27   168 0.87 -
