#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
141970at50557_144034_0:00292e|STRG.18601.1:149-592|+   -            148 141970at50557        -            136   5.1e-77  255.9   5.1   1   1   4.1e-80   5.8e-77  255.7   5.1     1   132    14   148    14   148 0.99 -
141970at50557_197043_0:00672d|STRG.12085.1:2223-2480|- -             86 141970at50557        -            136   6.3e-16   58.0   0.1   1   1   4.8e-19   6.8e-16   57.9   0.1     2    74    10    86     9    86 0.92 -
141970at50557_197043_0:00672d|STRG.12086.1:517-774|-   -             86 141970at50557        -            136   6.3e-16   58.0   0.1   1   1   4.8e-19   6.8e-16   57.9   0.1     2    74    10    86     9    86 0.92 -
141970at50557_121845_0:0031d2|STRG.2782.1:267-530|+    -             88 141970at50557        -            136   8.4e-10   38.2   0.0   1   1   6.2e-13   8.7e-10   38.1   0.0     3    80     1    82     1    88 0.88 -
56026at50557_103372_0:0024e3|STRG.1611.2:276-2198|+    -            641 141970at50557        -            136         4    6.9   8.0   1   4      0.26   3.7e+02    0.5   0.0    11    34   287   310   281   317 0.86 -
56026at50557_103372_0:0024e3|STRG.1611.2:276-2198|+    -            641 141970at50557        -            136         4    6.9   8.0   2   4      0.93   1.3e+03   -1.3   0.0    72   115   438   481   380   496 0.71 -
56026at50557_103372_0:0024e3|STRG.1611.2:276-2198|+    -            641 141970at50557        -            136         4    6.9   8.0   3   4    0.0084        12    5.3   3.7    86   134   524   573   511   575 0.76 -
56026at50557_103372_0:0024e3|STRG.1611.2:276-2198|+    -            641 141970at50557        -            136         4    6.9   8.0   4   4       2.4   3.3e+03   -2.6   0.0    81   114   593   626   584   635 0.64 -
56026at50557_103372_0:0024e3|STRG.1611.4:0-1922|+      -            641 141970at50557        -            136         4    6.9   8.0   1   4      0.26   3.7e+02    0.5   0.0    11    34   287   310   281   317 0.86 -
56026at50557_103372_0:0024e3|STRG.1611.4:0-1922|+      -            641 141970at50557        -            136         4    6.9   8.0   2   4      0.93   1.3e+03   -1.3   0.0    72   115   438   481   380   496 0.71 -
56026at50557_103372_0:0024e3|STRG.1611.4:0-1922|+      -            641 141970at50557        -            136         4    6.9   8.0   3   4    0.0084        12    5.3   3.7    86   134   524   573   511   575 0.76 -
56026at50557_103372_0:0024e3|STRG.1611.4:0-1922|+      -            641 141970at50557        -            136         4    6.9   8.0   4   4       2.4   3.3e+03   -2.6   0.0    81   114   593   626   584   635 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/141970at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/141970at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/141970at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:53:07 2024
# [ok]
