#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53123at50557_520822_0:001c5a|STRG.14275.1:192-1310|+ -            373 53123at50557         -            221  5.2e-118  391.1   5.6   1   1  4.4e-121  6.8e-118  390.8   5.6     1   221    29   290    29   290 0.90 -
97131at50557_13686_0:00104b|STRG.11573.1:403-1299|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   1   3   3.7e-05     0.057   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.11573.1:403-1299|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   2   3       1.5   2.2e+03   -3.3   0.0    73    90   111   128   109   156 0.69 -
97131at50557_13686_0:00104b|STRG.11573.1:403-1299|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   3   3   0.00036      0.55    8.5   0.0   121   210   193   285   178   294 0.82 -
97131at50557_13686_0:00104b|STRG.11573.2:361-1331|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   1   3   3.7e-05     0.057   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.11573.2:361-1331|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   2   3       1.5   2.2e+03   -3.3   0.0    73    90   111   128   109   156 0.69 -
97131at50557_13686_0:00104b|STRG.11573.2:361-1331|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   3   3   0.00036      0.55    8.5   0.0   121   210   193   285   178   294 0.82 -
97131at50557_13686_0:00104b|STRG.11573.3:184-1154|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   1   3   3.7e-05     0.057   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.11573.3:184-1154|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   2   3       1.5   2.2e+03   -3.3   0.0    73    90   111   128   109   156 0.69 -
97131at50557_13686_0:00104b|STRG.11573.3:184-1154|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   3   3   0.00036      0.55    8.5   0.0   121   210   193   285   178   294 0.82 -
97131at50557_13686_0:00104b|STRG.11573.4:236-1206|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   1   3   3.7e-05     0.057   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.11573.4:236-1206|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   2   3       1.5   2.2e+03   -3.3   0.0    73    90   111   128   109   156 0.69 -
97131at50557_13686_0:00104b|STRG.11573.4:236-1206|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   3   3   0.00036      0.55    8.5   0.0   121   210   193   285   178   294 0.82 -
97131at50557_13686_0:00104b|STRG.11573.5:361-1257|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   1   3   3.7e-05     0.057   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.11573.5:361-1257|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   2   3       1.5   2.2e+03   -3.3   0.0    73    90   111   128   109   156 0.69 -
97131at50557_13686_0:00104b|STRG.11573.5:361-1257|+  -            299 53123at50557         -            221   2.7e-05   22.6   0.2   3   3   0.00036      0.55    8.5   0.0   121   210   193   285   178   294 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53123at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:08 2024
# [ok]
