#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96211at50557_520822_0:002184|STRG.5095.1:18-665|+    -            216 96211at50557         -            195   5.2e-59  197.9   9.4   1   1   4.8e-61   3.2e-58  195.4   9.4    33   195     1   198     1   198 0.87 -
97065at50557_103372_0:0008a1|STRG.16969.1:180-893|+  -            238 96211at50557         -            195     2e-08   32.9   0.0   1   1   4.1e-11   2.7e-08   32.5   0.0    70   169    65   180    16   186 0.80 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   1   7     0.014         9    4.7   0.0   117   164    25    80     3    98 0.72 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   2   7     0.012       7.9    4.8   0.1    73   186    93   206    82   211 0.67 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   3   7      0.17   1.1e+02    1.1   0.0   134   164   267   296   253   301 0.85 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   4   7     0.031        20    3.5   0.0    95   163   326   401   304   405 0.64 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   5   7      0.15     1e+02    1.2   0.1    90   161   426   504   406   507 0.66 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   6   7       3.7   2.4e+03   -3.3   0.0   101   137   571   608   566   610 0.71 -
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 96211at50557         -            195   5.3e-08   31.5   4.9   7   7   0.00024      0.16   10.4   0.0    92   163   748   826   725   836 0.71 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   1   7     0.013       8.7    4.7   0.0   117   164    24    79     2    99 0.72 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   2   7      0.24   1.6e+02    0.6   0.0   135   186   170   217   149   223 0.75 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   3   7     0.098        65    1.9   0.0   134   165   278   308   262   328 0.82 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   4   7     0.027        18    3.7   0.0    95   163   336   411   313   420 0.65 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   5   7      0.15        97    1.3   0.1    90   161   436   514   414   518 0.67 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   6   7       3.8   2.5e+03   -3.3   0.0   101   137   580   617   575   619 0.71 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 96211at50557         -            195   5.7e-08   31.4   1.7   7   7   0.00025      0.16   10.4   0.0    92   163   757   835   734   845 0.71 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   1   7     0.013       8.8    4.7   0.0   117   164    25    80     3   100 0.72 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   2   7      0.24   1.6e+02    0.6   0.0   135   186   171   218   150   224 0.75 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   3   7      0.17   1.1e+02    1.1   0.0   134   164   279   308   265   313 0.85 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   4   7     0.028        18    3.7   0.0    95   163   338   413   316   422 0.65 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   5   7      0.16   1.1e+02    1.1   0.1    90   161   438   516   420   519 0.66 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   6   7       3.8   2.5e+03   -3.3   0.0   101   137   583   620   578   622 0.71 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 96211at50557         -            195   6.7e-08   31.2   1.5   7   7   0.00025      0.16   10.3   0.0    92   163   760   838   737   848 0.71 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   1   7     0.013       8.9    4.7   0.0   117   164    24    79     2    98 0.72 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   2   7     0.082        54    2.1   0.0   134   186   163   211    84   218 0.57 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   3   7       0.1        66    1.8   0.0   134   165   272   302   257   322 0.82 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   4   7      0.03        20    3.6   0.0    95   163   330   405   307   409 0.64 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   5   7      0.15     1e+02    1.2   0.1    90   161   430   508   411   512 0.67 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   6   7       3.7   2.5e+03   -3.3   0.0   101   137   574   611   569   613 0.71 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 96211at50557         -            195   1.3e-07   30.2   4.0   7   7   0.00024      0.16   10.4   0.0    92   163   751   829   728   839 0.71 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 96211at50557         -            195   2.9e-07   29.1   1.2   1   5      0.54   3.6e+02   -0.6   0.0   134   164    25    55     4    74 0.78 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 96211at50557         -            195   2.9e-07   29.1   1.2   2   5   1.4e-05    0.0095   14.4   0.0    71   163   171   267   156   281 0.72 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 96211at50557         -            195   2.9e-07   29.1   1.2   3   5     0.014         9    4.7   0.0   134   164   452   482   389   504 0.73 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 96211at50557         -            195   2.9e-07   29.1   1.2   4   5     0.059        39    2.6   0.0    88   163   507   589   490   595 0.64 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 96211at50557         -            195   2.9e-07   29.1   1.2   5   5      0.25   1.7e+02    0.5   0.0    77   161   604   695   588   698 0.73 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 96211at50557         -            195   3.3e-07   28.9   1.1   1   5      0.57   3.7e+02   -0.6   0.0   134   164    25    55     4    73 0.78 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 96211at50557         -            195   3.3e-07   28.9   1.1   2   5   1.5e-05    0.0098   14.3   0.0    71   163   171   267   156   280 0.71 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 96211at50557         -            195   3.3e-07   28.9   1.1   3   5     0.013       8.6    4.7   0.0   134   164   468   498   400   520 0.72 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 96211at50557         -            195   3.3e-07   28.9   1.1   4   5     0.055        36    2.7   0.0    88   163   523   605   503   611 0.65 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 96211at50557         -            195   3.3e-07   28.9   1.1   5   5      0.27   1.8e+02    0.4   0.0    78   161   621   711   606   714 0.72 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 96211at50557         -            195   3.4e-07   28.9   1.0   1   5      0.58   3.8e+02   -0.7   0.0   134   164    25    55     4    73 0.78 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 96211at50557         -            195   3.4e-07   28.9   1.0   2   5   1.5e-05      0.01   14.3   0.0    71   163   171   267   156   280 0.71 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 96211at50557         -            195   3.4e-07   28.9   1.0   3   5     0.015       9.6    4.6   0.0   134   164   488   518   425   540 0.73 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 96211at50557         -            195   3.4e-07   28.9   1.0   4   5     0.055        36    2.7   0.0    88   163   543   625   522   632 0.66 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 96211at50557         -            195   3.4e-07   28.9   1.0   5   5      0.28   1.8e+02    0.4   0.0    78   161   641   731   626   734 0.72 -
138527at50557_217634_0:002b14|STRG.15339.1:190-429|+ -             80 96211at50557         -            195     0.001   17.5   0.0   1   1   1.8e-06    0.0012   17.3   0.0   115   167    11    75     3    78 0.75 -
138527at50557_121225_0:001e16|STRG.3424.2:774-1130|+ -            119 96211at50557         -            195     0.011   14.2   0.2   1   1     2e-05     0.013   13.9   0.2    99   175    11    95     6   114 0.73 -
138527at50557_121225_0:001e16|STRG.3424.3:680-1036|+ -            119 96211at50557         -            195     0.011   14.2   0.2   1   1     2e-05     0.013   13.9   0.2    99   175    11    95     6   114 0.73 -
138527at50557_121225_0:001e16|STRG.3424.4:79-435|+   -            119 96211at50557         -            195     0.011   14.2   0.2   1   1     2e-05     0.013   13.9   0.2    99   175    11    95     6   114 0.73 -
65618at50557_520822_0:000026|STRG.5628.1:215-1498|+  -            428 96211at50557         -            195      0.02   13.3   0.3   1   3    0.0048       3.2    6.1   0.0    99   164    31   104    23   108 0.62 -
65618at50557_520822_0:000026|STRG.5628.1:215-1498|+  -            428 96211at50557         -            195      0.02   13.3   0.3   2   3     0.014       9.3    4.6   0.0   139   164   178   203   161   224 0.78 -
65618at50557_520822_0:000026|STRG.5628.1:215-1498|+  -            428 96211at50557         -            195      0.02   13.3   0.3   3   3       5.2   3.4e+03   -3.8   0.1    64    83   255   274   240   287 0.60 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96211at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96211at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96211at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:35 2024
# [ok]
