#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
36552at50557_103372_0:001482|STRG.5360.1:1-1107|-   -            369 36552at50557         -            432  1.1e-179  596.4   0.1   1   1  8.3e-183  1.3e-179  596.2   0.1   108   432     1   355     1   355 0.95 -
100475at50557_62324_0:00109e|STRG.4753.3:412-1790|+ -            458 36552at50557         -            432   6.5e-30  102.9   1.1   1   2   4.7e-11   7.2e-08   30.3   0.1    35   225    37   248    26   267 0.76 -
100475at50557_62324_0:00109e|STRG.4753.3:412-1790|+ -            458 36552at50557         -            432   6.5e-30  102.9   1.1   2   2   1.2e-22   1.8e-19   68.5   0.1   233   373   283   423   261   449 0.81 -
100475at50557_62324_0:00109e|STRG.4753.2:412-1779|+ -            456 36552at50557         -            432   6.8e-30  102.8   1.2   1   2   5.1e-11   7.7e-08   30.2   0.1    35   225    37   248    28   265 0.76 -
100475at50557_62324_0:00109e|STRG.4753.2:412-1779|+ -            456 36552at50557         -            432   6.8e-30  102.8   1.2   2   2   1.1e-22   1.7e-19   68.5   0.1   233   373   283   423   260   449 0.81 -
100475at50557_62324_0:00109e|STRG.4753.4:412-1779|+ -            456 36552at50557         -            432   6.8e-30  102.8   1.2   1   2   5.1e-11   7.7e-08   30.2   0.1    35   225    37   248    28   265 0.76 -
100475at50557_62324_0:00109e|STRG.4753.4:412-1779|+ -            456 36552at50557         -            432   6.8e-30  102.8   1.2   2   2   1.1e-22   1.7e-19   68.5   0.1   233   373   283   423   260   449 0.81 -
100475at50557_62324_0:00109e|STRG.4753.1:412-1995|+ -            528 36552at50557         -            432   1.2e-29  102.0   1.2   1   2   6.2e-11   9.5e-08   29.9   0.1    35   227    37   249    26   271 0.76 -
100475at50557_62324_0:00109e|STRG.4753.1:412-1995|+ -            528 36552at50557         -            432   1.2e-29  102.0   1.2   2   2   1.5e-22   2.2e-19   68.2   0.1   233   381   283   433   260   452 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/36552at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/36552at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/36552at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:40 2024
# [ok]
