#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87041at50557_103372_0:001d79|STRG.753.1:55-1203|+    -            383 87041at50557         -            293  2.1e-153  508.6   2.6   1   1  7.6e-154  7.4e-151  500.3   2.6     1   293     1   346     1   346 0.89 -
13612at50557_103372_0:000536|STRG.2802.1:400-3748|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   1   4   1.9e-11   1.8e-08   32.9   0.1     1   117     1   112     1   143 0.79 -
13612at50557_103372_0:000536|STRG.2802.1:400-3748|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   2   4       2.3   2.3e+03   -3.5   0.0    35    70   607   643   594   648 0.72 -
13612at50557_103372_0:000536|STRG.2802.1:400-3748|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   3   4   1.1e-18   1.1e-15   56.6   0.0   101   224   716   848   697   893 0.78 -
13612at50557_103372_0:000536|STRG.2802.1:400-3748|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   4   4      0.49   4.8e+02   -1.3   0.6    97   125  1029  1057   985  1073 0.72 -
13612at50557_103372_0:000536|STRG.2802.2:283-3631|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   1   4   1.9e-11   1.8e-08   32.9   0.1     1   117     1   112     1   143 0.79 -
13612at50557_103372_0:000536|STRG.2802.2:283-3631|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   2   4       2.3   2.3e+03   -3.5   0.0    35    70   607   643   594   648 0.72 -
13612at50557_103372_0:000536|STRG.2802.2:283-3631|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   3   4   1.1e-18   1.1e-15   56.6   0.0   101   224   716   848   697   893 0.78 -
13612at50557_103372_0:000536|STRG.2802.2:283-3631|+  -           1112 87041at50557         -            293   7.8e-26   89.9   4.4   4   4      0.49   4.8e+02   -1.3   0.6    97   125  1029  1057   985  1073 0.72 -
13612at50557_103372_0:000536|STRG.2802.5:660-3984|+  -           1104 87041at50557         -            293   8.1e-26   89.9   4.5   1   4   1.9e-11   1.8e-08   32.9   0.1     1   117     1   112     1   143 0.79 -
13612at50557_103372_0:000536|STRG.2802.5:660-3984|+  -           1104 87041at50557         -            293   8.1e-26   89.9   4.5   2   4       2.3   2.2e+03   -3.5   0.0    35    70   607   643   594   648 0.72 -
13612at50557_103372_0:000536|STRG.2802.5:660-3984|+  -           1104 87041at50557         -            293   8.1e-26   89.9   4.5   3   4   1.1e-18   1.1e-15   56.7   0.0   101   224   716   848   697   893 0.78 -
13612at50557_103372_0:000536|STRG.2802.5:660-3984|+  -           1104 87041at50557         -            293   8.1e-26   89.9   4.5   4   4      0.51     5e+02   -1.4   0.6    96   125  1028  1057   985  1067 0.71 -
87041at50557_7213_0:002ec4|STRG.14456.1:216-821|+    -            202 87041at50557         -            293   1.3e-22   79.3   0.3   1   1     5e-25   4.9e-22   77.4   0.3    75   233     2   182     1   194 0.76 -
87041at50557_217634_0:000af1|STRG.12020.1:56-829|+   -            258 87041at50557         -            293   8.9e-17   60.2   1.3   1   1     6e-18   5.9e-15   54.2   1.3    16   223    12   244     1   257 0.66 -
13612at50557_103372_0:000536|STRG.2802.4:1310-3929|+ -            869 87041at50557         -            293   1.3e-16   59.6   1.2   1   3       1.5   1.5e+03   -2.9   0.0    34    70   371   408   358   414 0.72 -
13612at50557_103372_0:000536|STRG.2802.4:1310-3929|+ -            869 87041at50557         -            293   1.3e-16   59.6   1.2   2   3   7.6e-19   7.4e-16   57.2   0.0   101   224   481   613   462   658 0.78 -
13612at50557_103372_0:000536|STRG.2802.4:1310-3929|+ -            869 87041at50557         -            293   1.3e-16   59.6   1.2   3   3      0.35   3.4e+02   -0.8   0.5    96   125   793   822   748   833 0.71 -
13612at50557_103372_0:000536|STRG.2802.3:86-2720|+   -            874 87041at50557         -            293   1.3e-16   59.6   1.2   1   3       1.6   1.5e+03   -2.9   0.0    34    70   376   413   363   419 0.72 -
13612at50557_103372_0:000536|STRG.2802.3:86-2720|+   -            874 87041at50557         -            293   1.3e-16   59.6   1.2   2   3   7.6e-19   7.5e-16   57.2   0.0   101   224   486   618   467   663 0.78 -
13612at50557_103372_0:000536|STRG.2802.3:86-2720|+   -            874 87041at50557         -            293   1.3e-16   59.6   1.2   3   3      0.35   3.4e+02   -0.8   0.5    96   125   798   827   753   838 0.71 -
13612at50557_121845_0:002d4c|STRG.14456.2:303-1031|+ -            243 87041at50557         -            293   1.7e-13   49.5   1.7   1   1   7.5e-16   7.4e-13   47.3   1.7   122   233     1   129     1   141 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87041at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
