#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_34720_0:000c24|STRG.5219.1:339-1358|+     -            340 89456at50557         -            230   9.2e-75  249.9   2.7   1   1   1.8e-75   2.8e-73  245.0   2.7     1   226    52   329    52   336 0.84 -
89456at50557_30025_0:000362|STRG.9108.1:655-1173|+     -            173 89456at50557         -            230   1.6e-11   43.0   0.5   1   1     1e-12   1.6e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30025_0:000362|STRG.9108.2:826-1344|+     -            173 89456at50557         -            230   1.6e-11   43.0   0.5   1   1     1e-12   1.6e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30025_0:000362|STRG.9108.3:758-1276|+     -            173 89456at50557         -            230   1.6e-11   43.0   0.5   1   1     1e-12   1.6e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30023_0:0003b5|STRG.10086.1:761-1252|+    -            164 89456at50557         -            230   5.9e-10   37.8   0.0   1   1   6.2e-11   9.6e-09   33.9   0.0     7   142     1   153     1   160 0.75 -
89456at50557_30023_0:0003b5|STRG.10086.2:745-1236|+    -            164 89456at50557         -            230   5.9e-10   37.8   0.0   1   1   6.2e-11   9.6e-09   33.9   0.0     7   142     1   153     1   160 0.75 -
36185at50557_77166_0:001a90|STRG.5107.1:1450-2493|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   1   2      0.12        18    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5107.1:1450-2493|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   2   2   4.6e-10   7.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5107.2:1103-2146|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   1   2      0.12        18    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5107.2:1103-2146|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   2   2   4.6e-10   7.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5107.3:1352-2395|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   1   2      0.12        18    3.5   0.1    94   109    35    52     4    55 0.68 -
